Rainfall_mm,Slope_Angle,Soil_Saturation,Vegetation_Cover,Earthquake_Activity,Proximity_to_Water,Landslide,Soil_Type_Gravel,Soil_Type_Sand,Soil_Type_Silt
206.1810178271,58.2750007243,0.8927975767,0.3394633937,4.3900466011,0.0999749158,1,0,0,0
218.8873337949,36.6798013899,0.6571467272,0.3603553892,4.1410289476,0.8324426408,0,0,0,1
181.8508666017,31.3638738522,0.6733618039,0.2216968972,5.3118910791,0.023062425,0,0,0,1
228.7161990388,38.99513401,0.6186662653,0.4895022075,4.5819283511,0.7851759614,1,0,0,1
179.9510673238,42.9982053445,0.8369658275,0.1185801651,5.5188621298,0.450499252,1,0,0,0
151.989744174,57.977061449,0.8253152871,0.254166601,4.0399156306,0.6842330265,1,0,0,1
216.0228740609,29.2713382196,0.798070764,0.1137554084,6.2733010052,0.1822360878,1,0,0,1
263.3042115476,39.8804556072,0.6831766651,0.3270801311,4.0782832311,0.7751328234,1,0,0,1
290.9248412346,56.318957265,0.8391599915,0.468749694,4.2212312551,0.52083426,1,0,0,0
294.1758036524,54.5586847037,0.8989280441,0.315876853,5.4668779142,0.2809345097,1,0,0,0
231.4044124737,29.9323478741,0.9208787923,0.1298202575,6.4672173415,0.3948815182,1,0,0,1
194.0232262077,25.492793795,0.6795369616,0.3845367811,5.9754388513,0.0740446517,1,0,0,0
203.7698592816,29.0554170834,0.9452413704,0.3493192507,4.8272450621,0.3708182522,1,0,0,1
250.3261878995,48.3072824816,0.8365191151,0.2098887172,5.4031085646,0.1195942459,1,0,0,0
256.9867180835,51.6274767016,0.824510879,0.408386872,5.2344889909,0.7106628897,1,0,0,0
166.6336231218,40.3767775653,0.6806876809,0.4583054383,5.188425558,0.5085706912,1,0,0,0
286.1349710889,33.7252280202,0.7641531692,0.4022204554,4.5719954137,0.5988654665,1,0,0,1
254.217739956,55.8163743655,0.8497416193,0.2182534743,4.2637356496,0.8036720769,1,0,0,1
177.9855088329,56.2395649471,0.8157368968,0.4229760621,6.2402282498,0.9068284415,1,0,0,0
190.8198374077,47.6691542189,0.6002081508,0.2410275425,4.7619531454,0.5107473026,1,0,0,1
212.6116504723,32.7737733665,0.6479461469,0.2350460686,6.3572742598,0.2187642196,1,0,0,1
233.7153003026,39.134265987,0.6259568988,0.2015661656,4.6171901571,0.4972485059,1,0,0,0
195.1317464725,34.9694173032,0.6147547789,0.3438257336,5.2566975581,0.0330507329,1,0,0,1
201.760687204,47.2022970645,0.8722821806,0.3123738333,5.1194579114,0.2420552715,1,0,0,1
250.8203321109,51.6566865365,0.6950550176,0.3912865394,4.9194578318,0.9834231409,1,0,0,1
209.8236663667,53.5751155627,0.91933805,0.1602870176,5.2704969419,0.0407751416,1,0,0,1
238.6339414782,48.7147526645,0.6066351316,0.3048372233,4.566239438,0.0961765511,1,0,0,1
291.0784896734,38.9150207381,0.8071005402,0.4350840424,5.6892252926,0.1134735212,1,0,0,0
288.7040427418,55.7068773683,0.7031766511,0.3639936184,6.0430555005,0.5166358913,1,0,0,0
